song_id,z1,z2,z3,z4,z5,z6,z7,z8,genre_clean,language
SOGSMXL12A81C23D88,-0.0008246788,-0.0024473928,0.0004923068,-0.006502541,-0.0001027463,0.0024934495,0.0022786036,-0.0015463447,chanson,en
SOMBCOW12AAF3B229F,-0.0024833516,0.0117216315,-0.0035258573,0.01858776,0.00021373341,-0.01224722,-0.00083616795,0.011639668,chanson,en
SOEYIHF12AB017B5F4,0.00033990468,-0.0022479435,0.00038706826,-0.0035762433,-0.0002751986,0.00015426707,0.0029280875,0.0012580724,other,en
SODJYEC12A8C13D757,-0.0009930966,-0.0022549285,0.00041490747,0.0031950744,0.0021008612,-0.0010475172,-0.0027951042,0.002392734,other,en
SOGSOUE12A58A76443,-0.00076902506,-0.0017314148,0.00013684959,-0.0031434894,-6.2616076e-05,0.00014169514,0.001721317,-9.84408e-07,other,en
SOVVDCO12AB0187AF7,0.00038799795,0.00028709322,0.001794379,-0.00036096014,-0.0011436059,0.00013082847,-0.00079231756,-0.00022519287,other,en
SOKSZVC12A8C142004,0.00016315014,0.00027483515,0.0014407187,0.00022118352,-0.001085743,-0.00064345356,-0.0004361472,0.00034824526,other,en
SORWTIF12A6D4FAA41,0.000781318,0.00027173432,0.0019007635,0.0014370587,-0.00050323515,-0.00024776813,-0.00230047,5.2605756e-05,other,en
SOZQSGL12AF72A9145,-0.0007260969,-0.0020506438,0.00076488475,-0.0016422346,0.0007418443,0.0009607235,-0.0005071312,0.00019936357,other,en
SOKRHNY12AB01837DB,3.4750905e-05,0.00020566117,0.0010100114,-0.00046385266,-0.00125427,-0.0010609077,0.00061905524,0.00036732294,other,en
SOBTEHX12A6D4FBF18,0.000410932,0.00041017262,0.0022244297,0.00094795786,-0.00091827614,0.00028127618,-0.0020578096,0.00010399055,other,en
SOXGDVW12AB01864E7,9.283039e-05,0.00019251741,0.001135162,-0.0017270204,-0.0015350829,-0.00042109657,0.0010934356,-0.00022403337,hip hop,en
SOKMPKV12A67AE241B,1.242361e-05,-4.951842e-05,0.0014702505,0.0028309487,-9.6343225e-05,-0.0011749025,-0.0022556775,0.0013978248,other,en
SOMVPGP12AB01881FF,1.44614605e-05,-0.0009580604,0.0018327794,-0.0059832484,-0.001294914,0.003184625,0.0011361511,-0.0023335377,other,en
SOGXENE12AB01854EB,0.0006155448,0.00089600123,0.0022544097,0.00090856664,-0.001408681,-9.023864e-05,-0.0016441329,1.5366822e-08,other,en
SOBHQIJ12A6D4FC7D3,3.6540441e-06,0.00081496453,0.0008798891,0.008316945,0.00028228806,-0.004757522,-0.0034466737,0.0039473306,hip hop,en
SODENZR12AAF3B13B9,-0.00074071845,-0.0021646498,0.0007212206,-0.0032236688,0.00045871036,0.0015199371,0.00033648498,-0.0003999276,other,en
SOEKSGJ12A67AE227E,-0.000113664544,0.00010829279,0.0006993355,0.0009415485,-0.0008538411,-0.0019539976,0.00027707545,0.0011477498,other,en
SOVPBXO12AB0188671,0.00017369713,0.0003142925,0.0013076747,-0.0014310852,-0.0015593146,-0.00034577586,0.0007506814,-0.00022887252,other,en
SOAMBCI12AC4685087,0.0022133524,-0.0028015124,-0.00024911994,0.001474347,0.0035151476,-0.0007837424,-0.003915376,-0.00106607,other,en
SOQNRHE12A8AE4849A,-0.000306173,-0.0008874899,0.00095820386,-0.0014488026,-0.0003794937,0.00016704854,0.00018847687,7.437682e-05,other,en
SOZKFHV12A6D4F996F,-0.0008679399,-0.00090157427,-0.000956174,0.0021639671,0.00014844304,-0.0035135467,0.0008535143,0.0025359737,other,en
SOSRIVF12AB017DF0E,-0.0005640184,-0.0012042355,0.00037524756,-0.0017629471,-0.000224635,-0.00040195417,0.0010577003,0.0003605811,other,en
SOIDSPL12AB0182DF0,-0.00029338046,-0.0007660282,0.0008384943,-0.0018146727,-0.00061524834,-1.6994774e-05,0.0007167943,3.5902485e-07,other,en
SOPVMQT12A679C8040,6.798189e-05,-0.00024509523,0.0014929706,-0.0023640506,-0.0011843776,0.0007744003,0.0004042508,-0.00069394056,other,en
SOIAZJL12A6D4F854E,0.004442468,0.0045279935,-0.00045936566,-0.0021801107,-0.00014050794,-0.005820472,0.002243488,0.0051313834,other,en
SOCPFDY12AB018300D,-0.0002729511,-0.0006807186,0.0009975312,0.00058367476,-8.050189e-05,-0.000633521,-0.0008079866,0.0008521471,other,en
SOVOTBC12A6D4F696A,0.001477827,-0.0035228925,-0.0013572378,-0.0057746805,0.0019489429,0.0016771127,0.0005259076,-0.0032961909,heavy metal,en
SOOQCOC12A8C132A5A,-3.2585347e-05,0.000231768,0.00020013831,0.004112834,-0.00017383788,-0.0039256196,-0.000697379,0.0025212052,blues-rock,en
SOQYSAU12AB018263A,0.00027326902,0.00049474835,0.0011687927,0.00051002763,-0.0012363838,-0.0013752608,-7.309951e-06,0.0005208128,other,en
SOKLGLN12A8C13D204,9.902462e-05,1.1546537e-05,0.0015140373,0.00027019717,-0.00078996015,-0.0003021825,-0.00084683485,0.00033496646,other,en
SOMMPRY12A8C131C5C,-0.00014165486,-2.252683e-05,0.0009100319,0.003071377,-0.0001545453,-0.0022012433,-0.0013983836,0.0018702489,latin jazz,en
SORDYIS12A6D4F64EC,-0.00024456938,-0.0012248196,0.001449404,-0.0028824955,-0.00030919444,0.0017579291,-0.00018925313,-0.0008119531,other,en
